Category,Name,Price,Type
Pav,Kheema Pav,220,Veg
Starters,Jalapeno Poppers,153,Non Veg
Starters,Garlic Bread W Cheese (4 Pcs),105,Non Veg
Starters,Spaghetti Cheese Ball,134,Non Veg
Starters,Paneer Tikka,196,Non Veg
Starters,Rocky Road Paneer,196,Non Veg
Starters,Dragon Paneer,186,Non Veg
Starters,Chilli Paneer,186,Non Veg
Starters,Peri Peri Fries,134,Non Veg
Starters,Peri Peri Paneer,186,Non Veg
Starters,Masala Wedges,139,Non Veg
Starters,Stuffed Fungi,143,Non Veg
Starters,Cheese Rissole,143,Non Veg
Starters,Cheesy Mex Fries,143,Non Veg
Starters,Fiery Potato,143,Non Veg
Starters,Fiery Baby Corn,143,Non Veg
Starters,Wedges,110,Non Veg
Starters,Thai Basil Chilly Mushroom,177,Non Veg
Starters,Corn Hi Corn,172,Non Veg
Starters,Fries,100,Non Veg
Starters,Nachos W Cheese,162,Non Veg
Starters,Teriyaki Mushroom,153,Non Veg
Starters,Fried Mozzarella Stix,153,Non Veg
Starters,Spicy Chicken Finger,229,Veg
Starters,Peri Peri Chicken,229,Veg
Starters,Chicken Rocky Road,220,Veg
Starters,Thai Fried Chicken,220,Veg
Starters,Chicken & Cheese Poppers,205,Veg
Starters,French Toast,105,Veg
Starters,Chicken Wings,186,Veg
Starters,Peri Peri Fish,243,Veg
Starters,Pesto Grilled Fish,234,Veg
Starters,Devils Chicken,229,Veg
Starters,Fire & Spice Dry,181,Veg
Starters,Pesto Grilled Chicken,229,Veg
Starters,Teriyaki Chicken,229,Veg
Starters,Butter Garlic Prawn,300,Veg
Starters,Chicken Popcorn,162,Veg
Starters,Sausages,158,Veg
Starters,Peri Peri Prawn,300,Veg
Salad,Greek Salad(Veg),153,Non Veg
Salad,Pasta Salad(Veg),153,Non Veg
Salad,Mexican Nachos Grande(Veg),181,Non Veg
Salad,Ceasar Salad(Veg),153,Non Veg
Salad,Russian Salad(Veg),134,Non Veg
Salad,Greek Salad(Non Veg),186,Veg
Salad,Ceasar Salad(Non Veg),186,Veg
Salad,Pasta Salad(Non-Veg),186,Veg
Salad,Russian Salad(Non-Veg),153,Veg
Salad,Crunchy Chicken Salad,196,Veg
Salad,Mexican Nachos Grande(Non-Veg),200,Veg
Egg To Order,Fried Egg 3Pcs,96,Veg
Egg To Order,Omelette,110,Veg
Egg To Order,Scrambled Egg,96,Veg
Egg To Order,Spagelette,124,Veg
Burger,Veg Burger,129,Non Veg
Burger,Butter Paneer Burger,148,Non Veg
Burger,Cheese Burger,139,Non Veg
Burger,Cottage Cheese Burger,139,Non Veg
Burger,Mexican Bean Burger,134,Non Veg
Burger,Soya Burger,134,Non Veg
Burger,Wedge Mex Burger,143,Non Veg
Burger,Tandoori Paneer Burger,148,Non Veg
Burger,Peri Peri Paneer Burger,148,Non Veg
Burger,Rocky Road Paneer Burger,148,Non Veg
Burger,All American Veg Burger,191,Non Veg
Burger,The Hotty Veg Burger,129,Non Veg
Burger,Crunchy Veg Burger,143,Non Veg
Burger,Tex Mex Chicken Burger,172,Veg
Burger,Peri Peri Chicken Burger,172,Veg
Burger,Tandoori Chicken Burger,158,Veg
Burger,Crisp Cross Chicken Burger,172,Veg
Burger,Lamb Burger,162,Veg
Burger,Fish Fillet Burger,158,Veg
Burger,The Hotty Chicken Burger,172,Veg
Burger,Pesto Fried Chicken Burger,158,Veg
Burger,Pesto Fried Fish Burger,181,Veg
Burger,Peri Peri Fish Burger,181,Veg
Burger,Cheese Burst Lamb Burger,215,Veg
Burger,Chicken Rocky Road Burger,172,Veg
Burger,Butter Chicken Burger,172,Veg
Burger,Chicken Steak Burger Pepper,158,Veg
Burger,Chicken Steak Burger Bbq,158,Veg
Burger,Chicken Steak Burger Mush,158,Veg
Burger,Chicken Steak Burger Teriyaki,158,Veg
Burger,Crumb Chicken Burger,162,Veg
Burger,The Hotty Prawn Burger,172,Veg
Burger,The Truffles Rooster,172,Veg
Burger,Prawn & Slaw Burger,181,Veg
Burger,All American Chicken Burger,220,Veg
Burger,All American Lamb Burger,220,Veg
Burger,Tons Of Fun Lamb,229,Veg
Burger,Tons Of Fun Chicken,229,Veg
Burger,Sloppy Joe Lamb Burger,262,Veg
Burger,Sloppy Joe Chicken Burger,262,Veg
Hot Dog,Chicken Hot Dog,120,Veg
Hot Dog,Great Dane,205,Veg
Submarine,Russian Salad Sub,167,Non Veg
Submarine,Cottage Cheese Sub,115,Non Veg
Submarine,Coleslaw Veg Sub,110,Non Veg
Submarine,Fetta Cheese & Salsa Sub,134,Non Veg
Submarine,Crispy Lucy Veg Sub(XL),191,Non Veg
Submarine,Devils Chicken Sub,139,Veg
Submarine,Chicken Mayo Sub,129,Veg
Submarine,Crispy Cross Chicken Sub,134,Veg
Submarine,Chicken Ham Sub,134,Veg
Submarine,Chicken Salami Sub,134,Veg
Submarine,Chicken & Slaw Sub,129,Veg
Submarine,Smoked Chicken Sausage Sub,153,Veg
